Time,X,Y,Z,Roll,Pitch,Yaw
165901,-0.01940918,0.22088623,-1.2738647,0.2695923,-0.09716797,-0.030395508
165911,-0.0138549805,0.24658203,-1.2706909,0.24945068,-0.09588623,0.01550293
165921,-0.0138549805,0.24658203,-1.2706909,0.24945068,-0.09588623,0.01550293
165931,-0.033996582,0.24694824,-1.2424316,0.22491455,-0.087768555,0.015136719
165941,-0.08093262,0.22906494,-1.2050171,0.17767334,-0.09893799,0.013061523
165951,-0.11206055,0.19177246,-1.2055054,0.13781738,-0.08062744,0.0
165960,-0.11206055,0.19177246,-1.2055054,0.13781738,-0.08062744,0.0
165971,-0.13311768,0.1730957,-1.2323608,0.12005615,-0.06390381,-0.0033569336
165981,-0.12884521,0.19195557,-1.2541504,0.09753418,-0.047851562,-0.011230469
165991,-0.109680176,0.20159912,-1.2406006,0.078552246,-0.02368164,-0.014343262
166001,-0.109680176,0.20159912,-1.2406006,0.078552246,-0.02368164,-0.014343262
166011,-0.08782959,0.23034668,-1.1708374,0.062194824,-0.013244629,-0.006958008
166021,-0.10644531,0.20544434,-1.0343018,0.020874023,-0.008850098,-0.0099487305
166031,-0.10644531,0.20544434,-1.0343018,0.020874023,-0.008850098,-0.0099487305
166041,-0.11383057,0.16784668,-1.118042,0.0071411133,-0.01977539,-0.006958008
166051,-0.13220215,0.16888428,-1.1420288,-0.0413208,0.0064086914,-0.009460449
166062,-0.1048584,0.19989014,-1.215271,-0.06512451,0.032958984,-0.01751709
166071,-0.1048584,0.19989014,-1.215271,-0.06512451,0.032958984,-0.01751709
166081,-0.07556152,0.2230835,-1.1489258,-0.09625244,0.034606934,-0.037597656
166091,-0.057495117,0.2255249,-1.0639648,-0.12475586,0.035339355,-0.0012207031
166101,-0.059753418,0.2467041,-0.9581909,-0.14147949,0.014709473,0.015991211
166111,-0.059753418,0.2467041,-0.9581909,-0.14147949,0.014709473,0.015991211
166121,-0.073791504,0.27392578,-0.9141846,-0.13934326,0.0010986328,4.8828125E-4
166131,-0.07714844,0.29864502,-0.9589844,-0.13684082,0.0025024414,0.04522705
166141,-0.0848999,0.28686523,-1.0031738,-0.13024902,0.012573242,0.0076904297
166151,-0.0848999,0.28686523,-1.0031738,-0.13024902,0.012573242,0.0076904297
166161,-0.09173584,0.2705078,-0.9812012,-0.1281128,0.0064697266,0.044677734
166171,-0.08886719,0.2564087,-0.9503784,-0.1260376,0.0061035156,0.04534912
166181,-0.08886719,0.2564087,-0.9503784,-0.1260376,0.0061035156,0.04534912
166191,-0.04724121,0.28173828,-0.87646484,-0.13604736,4.272461E-4,0.0690918
166201,-0.07128906,0.29901123,-0.84924316,-0.13568115,0.0056152344,0.045654297
166211,-0.08068848,0.31951904,-0.8657837,-0.11529541,0.0076904297,0.04711914
166221,-0.08068848,0.31951904,-0.8657837,-0.11529541,0.0076904297,0.04711914
166231,-0.08911133,0.32562256,-0.87060547,-0.11236572,0.009399414,0.0769043
166241,-0.07220459,0.29638672,-0.90545654,-0.101623535,0.021118164,0.07501221
166251,-0.045898438,0.27593994,-0.9076538,-0.10040283,0.038330078,0.06512451
166262,-0.045898438,0.27593994,-0.9076538,-0.10040283,0.038330078,0.06512451
166271,-0.02722168,0.28179932,-0.9015503,-0.10253906,0.042236328,0.07879639
166281,-0.030456543,0.31744385,-0.8803711,-0.10144043,0.045837402,0.06524658
166291,0.0026855469,0.34924316,-0.90478516,-0.09454346,0.051452637,0.06842041
166301,0.0026855469,0.34924316,-0.90478516,-0.09454346,0.051452637,0.06842041
166311,0.027954102,0.34350586,-0.91760254,-0.082458496,0.055480957,0.09033203
166321,0.03515625,0.34313965,-0.914978,-0.075805664,0.041625977,0.07476807
166331,0.03515625,0.34313965,-0.914978,-0.075805664,0.041625977,0.07476807
166341,0.04321289,0.33081055,-0.90966797,-0.07208252,0.035217285,0.087768555
166351,0.050231934,0.3189087,-0.86572266,-0.07019043,0.02154541,0.09686279
166361,0.074645996,0.31219482,-0.8694458,-0.06311035,0.009460449,0.09490967
166371,0.074645996,0.31219482,-0.8694458,-0.06311035,0.009460449,0.09490967
166381,0.07519531,0.3248291,-0.8937988,-0.052612305,-0.0040893555,0.122558594
166391,0.068725586,0.3297119,-0.904541,-0.05657959,-0.0053100586,0.08453369
166401,0.07702637,0.33764648,-0.8843384,-0.032470703,-0.01776123,0.12036133
166411,0.07702637,0.33764648,-0.8843384,-0.032470703,-0.01776123,0.12036133
166421,0.07952881,0.3260498,-0.87890625,-0.043395996,-0.016967773,0.06488037
166431,0.0925293,0.3239746,-0.8407593,-0.03894043,-0.026306152,0.07714844
166441,0.0925293,0.3239746,-0.8407593,-0.03894043,-0.026306152,0.07714844
166451,0.10491943,0.31378174,-0.84033203,-0.03527832,-0.047058105,0.11352539
166461,0.087890625,0.3079834,-0.82025146,-0.033935547,-0.057617188,0.10797119
166471,0.06414795,0.31207275,-0.8406372,-0.036193848,-0.06896973,0.084228516
166481,0.06414795,0.31207275,-0.8406372,-0.036193848,-0.06896973,0.084228516
166491,0.0657959,0.3355713,-0.82714844,-0.030944824,-0.076538086,0.0793457
166501,0.0748291,0.3330078,-0.82562256,-0.022094727,-0.086364746,0.09991455
166512,0.07556152,0.31707764,-0.83929443,-0.013061523,-0.09918213,0.06726074
166521,0.07556152,0.31707764,-0.83929443,-0.013061523,-0.09918213,0.06726074
166531,0.047546387,0.30639648,-0.8513794,-0.011413574,-0.10668945,0.073913574
166541,0.024780273,0.30993652,-0.8712158,-0.0067749023,-0.10821533,0.054748535
166551,0.0071411133,0.29711914,-0.87127686,-0.0040283203,-0.10870361,0.06085205
166561,0.0071411133,0.29711914,-0.87127686,-0.0040283203,-0.10870361,0.06085205
166571,0.00793457,0.3145752,-0.8612671,-0.006958008,-0.10949707,0.05999756
166581,0.018798828,0.33459473,-0.86834717,-0.006652832,-0.11029053,0.042907715
166591,0.018798828,0.33459473,-0.86834717,-0.006652832,-0.11029053,0.042907715
166601,0.0064086914,0.321167,-0.89959717,-0.010192871,-0.119384766,0.05645752
166611,-0.022583008,0.3135376,-0.9312744,-0.018432617,-0.13787842,0.038085938
166621,-0.05078125,0.31396484,-0.9562378,-0.020324707,-0.11291504,0.049316406
166631,-0.05078125,0.31396484,-0.9562378,-0.020324707,-0.11291504,0.049316406
166641,-0.05859375,0.31500244,-0.91015625,-0.02154541,-0.10272217,0.039855957
166651,-0.06945801,0.30413818,-0.91033936,-0.01550293,-0.09240723,0.020446777
166661,-0.064697266,0.3017578,-0.9317627,-0.012023926,-0.08483887,0.0256958
166671,-0.064697266,0.3017578,-0.9317627,-0.012023926,-0.08483887,0.0256958
166681,-0.066101074,0.3076172,-0.92889404,-0.02368164,-0.06842041,0.021484375
166691,-0.04699707,0.32073975,-0.95874023,-0.022033691,-0.06707764,-0.005065918
166701,-0.047973633,0.31903076,-0.9238281,-0.022033691,-0.06048584,-0.0020751953
166711,-0.047973633,0.31903076,-0.9238281,-0.022033691,-0.06048584,-0.0020751953
166722,-0.041870117,0.31585693,-0.91693115,-0.018371582,-0.07727051,0.02319336
166731,-0.05505371,0.3022461,-0.9381714,-0.028564453,-0.050964355,0.01184082
166741,-0.05505371,0.3022461,-0.9381714,-0.028564453,-0.050964355,0.01184082
166752,-0.06982422,0.3050537,-0.9361572,-0.02935791,-0.04815674,0.004699707
166761,-0.07598877,0.3251953,-0.9636841,-0.03955078,-0.03125,0.0063476562
166771,-0.090148926,0.33013916,-1.0043335,-0.032409668,-0.039001465,0.018920898
166781,-0.090148926,0.33013916,-1.0043335,-0.032409668,-0.039001465,0.018920898
166791,-0.06726074,0.34918213,-1.0217896,-0.05706787,-0.019104004,0.0076293945
166801,-0.07183838,0.3572998,-1.0844727,-0.06359863,-0.022583008,0.027160645
166811,-0.04083252,0.3540039,-1.1596069,-0.07330322,0.007507324,0.035339355
166821,-0.04083252,0.3540039,-1.1596069,-0.07330322,0.007507324,0.035339355
166832,-0.02935791,0.33117676,-1.3286133,-0.07476807,0.010009766,0.040161133
166841,-0.08898926,0.3814087,-1.3833618,-0.12072754,0.053955078,0.030334473
166851,-0.08898926,0.3814087,-1.3833618,-0.12072754,0.053955078,0.030334473
166861,-0.042297363,0.43933105,-1.496521,-0.15240479,-0.0036010742,0.047058105
166871,-9.765625E-4,0.48291016,-1.4902344,-0.19543457,-0.04711914,0.07684326
166881,0.061645508,0.5444336,-1.4873657,-0.23846436,-0.07647705,0.08013916
166891,0.061645508,0.5444336,-1.4873657,-0.23846436,-0.07647705,0.08013916
166901,0.088134766,0.54748535,-1.4836426,-0.28723145,-0.07952881,0.08679199
166911,0.0546875,0.56848145,-1.4699707,-0.3302002,-0.08581543,0.072631836
166921,-0.020507812,0.5462036,-1.4689941,-0.36767578,-0.109313965,0.045898438
166932,-0.020507812,0.5462036,-1.4689941,-0.36767578,-0.109313965,0.045898438
166941,-0.0680542,0.5423584,-1.4262695,-0.4024048,-0.10986328,0.04547119
166951,-0.104003906,0.5492554,-1.3890991,-0.44830322,-0.1149292,0.0390625
166961,-0.104003906,0.5492554,-1.3890991,-0.44830322,-0.1149292,0.0390625
166972,-0.10681152,0.5491333,-1.366333,-0.45874023,-0.08526611,0.06451416
166982,-0.12219238,0.54278564,-1.3399048,-0.4909668,-0.078430176,0.10675049
166991,-0.13146973,0.5459595,-1.3183594,-0.53564453,-0.06518555,0.095703125
167001,-0.13146973,0.5459595,-1.3183594,-0.53564453,-0.06518555,0.095703125
167010,-0.13439941,0.5869751,-1.2713013,-0.5773926,-0.054382324,0.09411621
167021,-0.11419678,0.5996704,-1.2260742,-0.62890625,-0.027648926,0.099609375
167031,-0.09460449,0.59088135,-1.1689453,-0.66986084,-0.0073242188,0.11077881
167041,-0.09460449,0.59088135,-1.1689453,-0.66986084,-0.0073242188,0.11077881
167051,-0.02911377,0.56921387,-1.0756226,-0.7293091,-0.0065307617,0.10015869
167061,0.01171875,0.557312,-1.0386963,-0.77752686,-0.021728516,0.1217041
167071,0.020507812,0.58288574,-1.0033569,-0.84002686,-0.033203125,0.12054443
167081,0.020507812,0.58288574,-1.0033569,-0.84002686,-0.033203125,0.12054443
167091,0.036499023,0.6074219,-0.940979,-0.89746094,-0.064941406,0.12322998
167101,0.03265381,0.6246948,-0.8510132,-0.9680176,-0.079833984,0.15576172
167111,0.03265381,0.6246948,-0.8510132,-0.9680176,-0.079833984,0.15576172
167121,0.03302002,0.63305664,-0.7928467,-1.0274048,-0.101623535,0.16082764
167130,-0.006286621,0.6524048,-0.76483154,-1.0326538,-0.128479,0.1585083
167141,-0.06628418,0.66448975,-0.7106323,-1.0592041,-0.12792969,0.16687012
167151,-0.06628418,0.66448975,-0.7106323,-1.0592041,-0.12792969,0.16687012
167161,-0.064575195,0.65789795,-0.552124,-1.0778198,-0.12463379,0.1829834
167171,-0.029052734,0.65789795,-0.4099121,-1.0922241,-0.13452148,0.20159912
167181,-0.005859375,0.64385986,-0.27288818,-1.1027832,-0.14489746,0.19439697
167191,-0.005859375,0.64385986,-0.27288818,-1.1027832,-0.14489746,0.19439697
167201,-0.010620117,0.6387329,-0.17749023,-1.0834961,-0.11621094,0.18951416
167211,-0.016296387,0.6635132,-0.15106201,-1.0308838,-0.10852051,0.1619873
167221,-0.016296387,0.6635132,-0.15106201,-1.0308838,-0.10852051,0.1619873
167232,-0.060424805,0.6555786,-0.14837646,-0.9637451,-0.060180664,0.14758301
167241,-0.08282471,0.6491089,-0.18463135,-0.89282227,-0.027282715,0.14807129
167251,-0.08190918,0.6126709,-0.1986084,-0.87323,-0.0045776367,0.13415527
167261,-0.08190918,0.6126709,-0.1986084,-0.87323,-0.0045776367,0.13415527
167271,-0.09082031,0.5231323,-0.18200684,-0.8609009,9.765625E-4,0.13342285
167281,-0.10095215,0.38153076,-0.16595459,-0.84454346,0.01727295,0.11553955
167291,-0.10839844,0.2576294,-0.13879395,-0.82110596,0.04840088,0.13110352
167301,-0.10839844,0.2576294,-0.13879395,-0.82110596,0.04840088,0.13110352
167312,-0.14001465,0.099731445,-0.1305542,-0.78967285,0.09350586,0.10455322
167321,-0.1338501,0.039916992,-0.14257812,-0.75439453,0.11846924,0.12573242
167331,-0.12536621,-0.025146484,-0.13690186,-0.72088623,0.15319824,0.12872314
167342,-0.12536621,-0.025146484,-0.13690186,-0.72088623,0.15319824,0.12872314
167351,-0.16052246,-0.07507324,-0.15795898,-0.6950073,0.20263672,0.12335205
167361,-0.1560669,-0.08734131,-0.10211182,-0.6624756,0.23504639,0.12908936
167371,-0.18188477,-0.2697754,0.083984375,-0.63220215,0.20727539,0.15551758
167381,-0.18188477,-0.2697754,0.083984375,-0.63220215,0.20727539,0.15551758
167391,-0.064208984,-0.1729126,0.0032958984,-0.59375,0.12219238,0.15673828
167401,6.1035156E-5,-0.0769043,0.02722168,-0.61157227,-0.02960205,0.16967773
167411,6.1035156E-5,-0.0769043,0.02722168,-0.61157227,-0.02960205,0.16967773
167421,0.085876465,0.0079956055,0.07952881,-0.6641846,-0.07861328,0.16833496
167431,0.14715576,0.0635376,0.15307617,-0.7258911,-0.111083984,0.16693115
167442,0.14654541,0.22320557,0.20544434,-0.74768066,-0.06982422,0.14404297
167451,0.14654541,0.22320557,0.20544434,-0.74768066,-0.06982422,0.14404297
167461,0.06188965,0.43518066,0.2434082,-0.736084,-0.016113281,0.1821289
167471,0.059631348,0.7914429,0.22485352,-0.73010254,0.037353516,0.1795044
167481,0.070617676,1.1765747,0.2220459,-0.76049805,0.07019043,0.20916748
