Time,X,Y,Z,Roll,Pitch,Yaw
307263,0.36639404,0.8694458,0.1628418,0.30963135,-0.2355957,0.2119751
307265,0.36639404,0.8694458,0.1628418,0.30963135,-0.2355957,0.2119751
307271,0.36846924,0.7460327,0.53356934,0.36486816,-0.12072754,-0.029541016
307281,0.36846924,0.7460327,0.53356934,0.36486816,-0.12072754,-0.029541016
307292,0.38391113,1.4398193,0.545166,0.3232422,-0.08306885,-0.061157227
307301,0.38391113,1.4398193,0.545166,0.3232422,-0.08306885,-0.061157227
307312,0.2512207,0.4852295,0.30688477,0.36212158,-0.080200195,-0.06274414
307321,0.20904541,1.1315308,0.40112305,0.30395508,-0.08557129,-0.103759766
307331,0.18182373,0.94122314,0.17980957,0.34240723,-0.09088135,-0.07940674
307341,0.28570557,1.11969,0.8902588,0.3470459,-0.1081543,-0.061340332
307351,0.28570557,1.11969,0.8902588,0.3470459,-0.1081543,-0.061340332
307362,0.18353271,0.82977295,0.2991333,0.3665161,-0.11669922,-0.07824707
307372,0.22106934,1.2043457,0.42822266,0.34692383,-0.11566162,-0.052734375
307381,0.20874023,1.4151611,0.7685547,0.30871582,-0.11456299,-0.05633545
307391,0.12475586,0.4025879,0.028137207,0.42486572,-0.12335205,-0.045532227
307402,0.12475586,0.4025879,0.028137207,0.42486572,-0.12335205,-0.045532227
307412,0.20031738,0.9075928,0.19226074,0.35864258,-0.090270996,-0.049682617
307422,0.16448975,1.0332642,0.3209839,0.31304932,-0.089660645,-0.085510254
307432,0.12164307,0.70947266,0.35620117,0.33776855,-0.06585693,-0.109313965
307442,0.1038208,0.98101807,0.21203613,0.29083252,-0.027648926,-0.107543945
307452,0.1038208,0.98101807,0.21203613,0.29083252,-0.027648926,-0.107543945
307461,0.17779541,0.7685547,0.12194824,0.2993164,-0.0049438477,-0.1517334
307472,0.15411377,0.9293823,0.17687988,0.30187988,0.036071777,-0.17272949
307482,0.16033936,0.88500977,0.31732178,0.2989502,0.07348633,-0.1942749
307492,0.20220947,1.0532837,0.27874756,0.27252197,0.097839355,-0.21972656
307502,0.20220947,1.0532837,0.27874756,0.27252197,0.097839355,-0.21972656
307512,0.19207764,1.0167847,0.29803467,0.24560547,0.1161499,-0.23950195
307522,0.18365479,1.0332642,0.31591797,0.21972656,0.13220215,-0.26953125
307532,0.16668701,1.0546265,0.2098999,0.19055176,0.12487793,-0.2738037
307542,0.1671753,1.0957031,0.24487305,0.1784668,0.12731934,-0.2687378
307552,0.1671753,1.0957031,0.24487305,0.1784668,0.12731934,-0.2687378
307562,0.17163086,1.1000977,0.3062744,0.1772461,0.15014648,-0.28253174
307572,0.21240234,0.89331055,0.22937012,0.19586182,0.19024658,-0.30999756
307582,0.17901611,0.91607666,0.2597046,0.19293213,0.22296143,-0.37091064
307592,0.17614746,0.8083496,0.1348877,0.18518066,0.25280762,-0.4263916
307602,0.17614746,0.8083496,0.1348877,0.18518066,0.25280762,-0.4263916
