Time,X,Y,Z,Roll,Pitch,Yaw
542280,-0.119506836,-0.012207031,1.0419312,0.02911377,-0.045837402,-0.015380859
542284,-0.119506836,-0.012207031,1.0419312,0.02911377,-0.045837402,-0.015380859
542293,-0.119506836,-0.012207031,1.0419312,0.02911377,-0.045837402,-0.015380859
542303,-0.11328125,-0.018554688,1.0264893,0.045715332,-0.066223145,-0.02508545
542314,-0.11138916,-0.013977051,1.0411987,0.028930664,-0.058898926,-0.023498535
542324,-0.117126465,-0.022888184,1.0333862,0.030639648,-0.059448242,-0.022338867
542333,-0.117126465,-0.022888184,1.0333862,0.030639648,-0.059448242,-0.022338867
542344,-0.12432861,-0.027770996,1.0372925,0.035583496,-0.059814453,-0.016357422
542354,-0.11621094,-0.022460938,1.0322266,0.04473877,-0.06768799,-0.024353027
542364,-0.11785889,-0.0049438477,1.0422363,0.03112793,-0.058776855,-0.019958496
542373,-0.11785889,-0.0049438477,1.0422363,0.03112793,-0.058776855,-0.019958496
542384,-0.10723877,-0.01763916,1.0344238,0.031982422,-0.06011963,-0.016235352
542394,-0.11029053,-0.024658203,1.0378418,0.02923584,-0.05670166,-0.024414062
542403,-0.113098145,-0.019348145,1.0397339,0.028930664,-0.05670166,-0.017333984
542413,-0.113098145,-0.019348145,1.0397339,0.028930664,-0.05670166,-0.017333984
542423,-0.11706543,-0.028076172,1.0281372,0.032104492,-0.06329346,-0.024353027
542433,-0.121276855,-0.018737793,1.0356445,0.028686523,-0.05822754,-0.022155762
542443,-0.121276855,-0.018737793,1.0356445,0.028686523,-0.05822754,-0.022155762
542454,-0.1204834,-0.02557373,1.0407715,0.030578613,-0.05987549,-0.023010254
542464,-0.11987305,-0.02520752,1.036377,0.03338623,-0.0647583,-0.023254395
542474,-0.11541748,-0.017150879,1.0265503,0.031677246,-0.061462402,-0.014526367
542483,-0.11541748,-0.017150879,1.0265503,0.031677246,-0.061462402,-0.014526367
542493,-0.113342285,-0.018249512,1.0426025,0.02960205,-0.051940918,-0.018005371
542503,-0.12042236,-0.019958496,1.0373535,0.032104492,-0.058898926,-0.030334473
542513,-0.11193848,-0.021728516,1.0378418,0.030639648,-0.055236816,-0.017944336
542524,-0.11193848,-0.021728516,1.0378418,0.030639648,-0.055236816,-0.017944336
542533,-0.10913086,-0.01940918,1.0466309,0.026062012,-0.061523438,-0.02557373
542543,-0.10217285,-0.013977051,1.0206909,0.0289917,-0.060546875,-0.024353027
542553,-0.10217285,-0.013977051,1.0206909,0.0289917,-0.060546875,-0.024353027
542564,-0.12683105,-0.034301758,1.0462036,0.0289917,-0.039245605,-0.017700195
