Time,X,Y,Z,Roll,Pitch,Yaw
51541,0.5076294,0.7633667,-0.10656738,0.043823242,-0.038085938,-0.005432129
51548,0.5076294,0.7633667,-0.10656738,0.043823242,-0.038085938,-0.005432129
51558,0.3461914,1.0266724,-0.0018310547,0.044128418,-0.036010742,-0.023864746
51568,0.4800415,0.97540283,0.087768555,0.052856445,-0.030822754,-0.0041503906
51578,0.48809814,0.7620239,-0.037231445,0.06842041,-0.049987793,-0.014770508
51588,0.48809814,0.7620239,-0.037231445,0.06842041,-0.049987793,-0.014770508
51597,0.33953857,0.9890747,0.11376953,0.04473877,-0.032348633,3.0517578E-4
51608,0.39672852,0.8140869,-0.11437988,0.046447754,-0.041809082,-0.008300781
51619,0.3496704,1.0110474,0.10888672,0.031921387,-0.017944336,-6.1035156E-5
51627,0.43151855,0.84399414,0.018249512,0.04168701,-0.038024902,0.004211426
51639,0.43151855,0.84399414,0.018249512,0.04168701,-0.038024902,0.004211426
51647,0.5392456,0.7786255,-0.05895996,0.050109863,-0.038513184,-0.010803223
51657,0.38830566,1.0249023,0.05682373,0.028076172,-0.039245605,-0.0178833
51668,0.47662354,0.7531128,-0.06439209,0.03765869,-0.040283203,-0.016418457
51678,0.47662354,0.7531128,-0.06439209,0.03765869,-0.040283203,-0.016418457
51689,0.3955078,0.8062744,0.03186035,0.018981934,-0.042114258,-0.008972168
51698,0.53674316,0.76135254,-0.13702393,0.027832031,-0.0435791,-0.010131836
51708,0.53674316,0.76135254,-0.13702393,0.027832031,-0.0435791,-0.010131836
51718,0.52404785,0.8605957,-0.12402344,0.0040283203,-0.048034668,-0.011230469
51728,0.48620605,0.7593994,-0.047424316,0.016723633,-0.04724121,-0.019226074
51739,0.52593994,0.7560425,-0.12408447,6.713867E-4,-0.046203613,-0.012512207
51748,0.52593994,0.7560425,-0.12408447,6.713867E-4,-0.046203613,-0.012512207
51758,0.5248413,0.7702637,-0.12591553,0.0045776367,-0.051818848,-0.012756348
51768,0.35101318,1.0071411,0.11016846,8.544922E-4,-0.053710938,-0.028198242
51778,0.52178955,0.78344727,-0.0546875,0.017333984,-0.04736328,-0.009033203
51788,0.52178955,0.78344727,-0.0546875,0.017333984,-0.04736328,-0.009033203
51798,0.3937378,0.8303833,-0.08709717,0.0115356445,-0.05279541,-0.037719727
51808,0.4888916,0.7633667,-0.11236572,0.028930664,-0.03881836,-0.022216797
51818,0.34991455,1.0264282,0.0024414062,0.009765625,-0.051757812,-0.030700684
51827,0.47650146,0.789978,-0.06604004,0.036071777,-0.04840088,-0.018432617
51838,0.37091064,0.9109497,-0.06958008,0.0234375,-0.04626465,-0.01965332
51847,0.37091064,0.9109497,-0.06958008,0.0234375,-0.04626465,-0.01965332
51858,0.41973877,1.0532837,0.1307373,0.01965332,-0.0569458,-0.0037841797
51868,0.40478516,1.0751953,0.072021484,0.045410156,-0.056518555,-0.027709961
51878,0.51446533,0.89105225,0.04522705,0.04260254,-0.043823242,0.0073242188
51888,0.51446533,0.89105225,0.04522705,0.04260254,-0.043823242,0.0073242188
51898,0.47161865,0.9976196,0.10614014,0.05645752,-0.050720215,-0.009643555
51908,0.5036621,0.7397461,-0.071777344,0.05078125,-0.051940918,-0.024291992
51918,0.34423828,1.003418,0.11383057,0.024475098,-0.041503906,-0.014221191
51928,0.517395,0.7394409,-0.101501465,0.044189453,-0.035827637,-0.014953613
51939,0.517395,0.7394409,-0.101501465,0.044189453,-0.035827637,-0.014953613
51948,0.33496094,1.0430908,0.1159668,0.022583008,-0.04260254,-0.016784668
51958,0.513855,0.7351074,-0.13549805,0.041259766,-0.031555176,-0.010192871
51968,0.513855,0.7351074,-0.13549805,0.041259766,-0.031555176,-0.010192871
51978,0.52038574,0.734375,-0.08453369,0.025024414,-0.028930664,0.003112793
51988,0.44018555,1.0201416,0.119384766,0.014892578,-0.03161621,-3.0517578E-4
51998,0.53796387,0.7423096,-0.10015869,0.034240723,-0.03643799,0.007080078
52008,0.37579346,0.99798584,0.11920166,0.013122559,-0.036865234,-0.012512207
52018,0.37579346,0.99798584,0.11920166,0.013122559,-0.036865234,-0.012512207
52027,0.5515747,0.7591553,-0.09552002,0.04144287,-0.04107666,-0.005126953
52039,0.37805176,0.9855957,-0.03918457,0.02319336,-0.051696777,-0.023803711
52048,0.49719238,0.7531738,-0.079711914,0.038391113,-0.046447754,0.004638672
52059,0.37426758,0.9692383,-0.039794922,0.024536133,-0.053344727,-0.020935059
52069,0.37426758,0.9692383,-0.039794922,0.024536133,-0.053344727,-0.020935059
52077,0.5482788,0.81677246,-0.105529785,0.03125,-0.046142578,-0.015380859
52088,0.4234619,1.046875,0.111328125,0.018798828,-0.04699707,-0.0018310547
52098,0.5408325,0.76239014,-0.11291504,0.03717041,-0.046875,-0.025756836
52108,0.36798096,1.0496216,0.12390137,0.01361084,-0.050842285,-0.026977539
52118,0.36798096,1.0496216,0.12390137,0.01361084,-0.050842285,-0.026977539
52128,0.54125977,0.76538086,-0.103027344,0.028686523,-0.04949951,-0.026916504
52138,0.4161377,1.0513306,0.11608887,0.012451172,-0.054748535,-0.026611328
52148,0.53826904,0.76971436,-0.059753418,0.03491211,-0.053466797,-0.028503418
52158,0.36505127,0.9492798,0.12109375,0.024169922,-0.06048584,-0.03173828
52168,0.36505127,0.9492798,0.12109375,0.024169922,-0.06048584,-0.03173828
52178,0.5440674,0.78430176,-0.116760254,0.03942871,-0.048095703,-0.016052246
52188,0.36499023,1.0592041,0.107299805,0.0256958,-0.059265137,-0.038085938
52198,0.5406494,0.77612305,-0.087524414,0.04144287,-0.05517578,-0.015625
52208,0.3538208,0.93341064,0.101501465,0.030029297,-0.057556152,-0.03753662
52218,0.3538208,0.93341064,0.101501465,0.030029297,-0.057556152,-0.03753662
52227,0.40612793,0.79174805,-0.109802246,0.039611816,-0.050109863,-0.024230957
52238,0.39819336,1.0559082,0.11968994,0.020629883,-0.061950684,-0.0134887695
52248,0.5297241,0.7929077,-0.111083984,0.041625977,-0.041503906,-0.022033691
52258,0.39959717,1.0598145,0.11694336,0.019348145,-0.041503906,-0.022216797
52268,0.39959717,1.0598145,0.11694336,0.019348145,-0.041503906,-0.022216797
52279,0.5366211,0.8045044,-0.10821533,0.03741455,-0.04071045,-0.01159668
52289,0.40118408,1.06073,0.11694336,0.019592285,-0.044921875,-0.009338379
52298,0.538147,0.7781372,-0.122680664,0.038635254,-0.037231445,-0.020019531
52308,0.37072754,1.0562744,0.109680176,0.02508545,-0.044006348,-0.026000977
52319,0.37072754,1.0562744,0.109680176,0.02508545,-0.044006348,-0.026000977
52327,0.42980957,0.79730225,-0.105041504,0.032592773,-0.03955078,-0.022644043
52338,0.4031372,1.0630493,0.114990234,0.011047363,-0.04321289,-0.0037841797
52348,0.5348511,0.77667236,-0.11834717,0.03491211,-0.037719727,-0.0078125
52358,0.371521,1.057373,0.11383057,0.01184082,-0.040100098,-0.02758789
52368,0.371521,1.057373,0.11383057,0.01184082,-0.040100098,-0.02758789
52377,0.54211426,0.77404785,-0.06677246,0.030090332,-0.03552246,-0.030090332
52388,0.37713623,1.0532837,0.11004639,0.027709961,-0.046203613,-0.027832031
52400,0.47076416,0.7852783,-0.05859375,0.04071045,-0.04071045,-0.003967285
52409,0.3764038,0.94244385,0.108947754,0.026855469,-0.046325684,-0.019104004
52419,0.3764038,0.94244385,0.108947754,0.026855469,-0.046325684,-0.019104004
52427,0.42260742,0.8043823,-0.11584473,0.03314209,-0.038330078,-4.8828125E-4
52438,0.41333008,1.0700684,0.11102295,0.016784668,-0.043762207,-0.0040283203
52448,0.54901123,0.79071045,-0.099609375,0.04107666,-0.051330566,-0.009460449
