Time,X,Y,Z,Roll,Pitch,Yaw
1072,0.0579834,1.0109863,0.08483887,0.03387451,-0.013916016,-0.050964355
1083,0.05822754,1.0144043,0.061340332,0.03363037,-0.0022583008,-0.039733887
1084,0.05822754,1.0144043,0.061340332,0.03363037,-0.0022583008,-0.039733887
1086,0.05822754,1.0144043,0.061340332,0.03363037,-0.0022583008,-0.039733887
1094,0.059326172,1.0075073,0.07458496,0.032226562,-0.015563965,-0.054992676
1105,0.059326172,1.0075073,0.07458496,0.032226562,-0.015563965,-0.054992676
1115,0.060302734,1.003479,0.08496094,0.029907227,-0.019042969,-0.02532959
1125,0.059448242,1.0056152,0.064941406,0.030639648,-0.024719238,-0.0446167
1134,0.059448242,1.0056152,0.064941406,0.030639648,-0.024719238,-0.0446167
1145,0.045959473,0.9887085,0.057434082,0.028320312,-0.046447754,-0.0647583
1154,0.035949707,1.001648,0.06359863,0.025878906,-0.03845215,-0.06213379
1165,0.03161621,0.9986572,0.06842041,0.026123047,-0.040649414,-0.047546387
1176,0.029296875,1.0003052,0.07287598,0.023925781,-0.045532227,-0.065979004
1184,0.029296875,1.0003052,0.07287598,0.023925781,-0.045532227,-0.065979004
1194,0.026611328,0.9926758,0.047729492,0.019714355,-0.040222168,-0.058776855
1204,0.020751953,0.99780273,0.07342529,0.021911621,-0.045837402,-0.067871094
1215,0.026611328,1.0004883,0.0670166,0.020690918,-0.040283203,-0.061035156
1225,0.035949707,1.0024414,0.070251465,0.022338867,-0.040283203,-0.06549072
1234,0.035949707,1.0024414,0.070251465,0.022338867,-0.040283203,-0.06549072
1244,0.03527832,1.010376,0.06201172,0.022216797,-0.045532227,-0.058654785
1255,0.028503418,1.0059204,0.056030273,0.022094727,-0.037902832,-0.05999756
1265,0.038513184,1.0084839,0.077697754,0.020507812,-0.04248047,-0.05999756
1274,0.039123535,1.0046997,0.081726074,0.022155762,-0.042114258,-0.066589355
1285,0.041931152,1.0004272,0.07196045,0.0211792,-0.050109863,-0.070617676
1295,0.041931152,1.0004272,0.07196045,0.0211792,-0.050109863,-0.070617676
1304,0.040649414,1.0006104,0.06402588,0.018432617,-0.04437256,-0.062927246
1314,0.023071289,1.0012207,0.064941406,0.01928711,-0.049682617,-0.061767578
1325,0.036621094,1.0021973,0.07519531,0.016540527,-0.053710938,-0.054260254
1335,0.045654297,0.9864502,0.06719971,0.01940918,-0.04345703,-0.05596924
1345,0.045654297,0.9864502,0.06719971,0.01940918,-0.04345703,-0.05596924
1354,0.040405273,0.9937744,0.061645508,0.019592285,-0.05456543,-0.05218506
1365,0.0390625,0.98095703,0.060180664,0.012329102,-0.05895996,-0.05999756
1375,0.04071045,0.9911499,0.062072754,0.0072021484,-0.05505371,-0.0491333
1385,0.03302002,0.99298096,0.057495117,0.0048217773,-0.055358887,-0.061523438
1394,0.03302002,0.99298096,0.057495117,0.0048217773,-0.055358887,-0.061523438
1405,0.036132812,1.003418,0.061706543,0.0032348633,-0.059509277,-0.055236816
1415,0.030639648,1.0014648,0.0513916,0.0045776367,-0.06262207,-0.06866455
1425,0.02734375,0.99902344,0.05621338,0.005065918,-0.05621338,-0.046020508
1434,0.020263672,0.9942627,0.067871094,0.007751465,-0.062683105,-0.062438965
1445,0.020263672,0.9942627,0.067871094,0.007751465,-0.062683105,-0.062438965
1455,0.018310547,1.0010986,0.07525635,0.0126953125,-0.055908203,-0.0592041
1465,0.017150879,1.0064087,0.087646484,0.0146484375,-0.05316162,-0.0579834
1474,0.010375977,1.0043945,0.08477783,0.019042969,-0.046081543,-0.052246094
1484,0.00579834,1.0105591,0.076171875,0.021240234,-0.044311523,-0.061523438
1495,0.00579834,1.0105591,0.076171875,0.021240234,-0.044311523,-0.061523438
1505,0.01763916,1.0217896,0.07922363,0.026367188,-0.039001465,-0.060058594
1514,0.01953125,1.0186768,0.090270996,0.028564453,-0.03552246,-0.0390625
1525,0.027709961,1.0169067,0.07543945,0.030944824,-0.03173828,-0.051818848
1535,0.035461426,1.0239868,0.08312988,0.032836914,-0.036315918,-0.061523438
1545,0.035461426,1.0239868,0.08312988,0.032836914,-0.036315918,-0.061523438
1555,0.035461426,1.008606,0.08105469,0.033203125,-0.035949707,-0.06213379
1564,0.027832031,0.9970703,0.0769043,0.032470703,-0.034057617,-0.064208984
1575,0.044128418,0.9932251,0.07446289,0.034118652,-0.032470703,-0.05859375
1585,0.029907227,0.99365234,0.07574463,0.027709961,-0.03161621,-0.056640625
1595,0.029907227,0.99365234,0.07574463,0.027709961,-0.03161621,-0.056640625
1604,0.036132812,0.9971924,0.08843994,0.024230957,-0.037231445,-0.049743652
1615,0.03765869,1.0027466,0.08312988,0.02178955,-0.0368042,-0.061706543
1625,0.04046631,1.0089722,0.07849121,0.028930664,-0.041015625,-0.052856445
1635,0.039489746,1.0117798,0.06567383,0.027038574,-0.043762207,-0.054260254
1644,0.039489746,1.0117798,0.06567383,0.027038574,-0.043762207,-0.054260254
1655,0.0335083,1.0088501,0.068603516,0.027709961,-0.044128418,-0.059570312
1665,0.044189453,1.0061646,0.061157227,0.027282715,-0.03955078,-0.051879883
1675,0.022338867,0.99768066,0.0592041,0.026428223,-0.03955078,-0.042419434
1684,0.022705078,0.998291,0.05407715,0.025512695,-0.03765869,-0.05517578
1695,0.033813477,0.9971924,0.070495605,0.022521973,-0.034240723,-0.05328369
1705,0.033813477,0.9971924,0.070495605,0.022521973,-0.034240723,-0.05328369
1715,0.02722168,1.012207,0.0715332,0.019104004,-0.034606934,-0.057739258
1725,0.03277588,1.0007935,0.06854248,0.022460938,-0.038635254,-0.052246094
1735,0.033203125,1.0024414,0.06689453,0.016662598,-0.033813477,-0.04345703
1745,0.033203125,1.0024414,0.06689453,0.016662598,-0.033813477,-0.04345703
1754,0.03881836,1.0071411,0.060791016,0.02154541,-0.035888672,-0.05621338
1765,0.03540039,1.0029297,0.07043457,0.020202637,-0.023620605,-0.0524292
1775,0.0368042,1.0064087,0.0579834,0.01965332,-0.033081055,-0.03881836
1785,0.032714844,0.99835205,0.06561279,0.020141602,-0.032714844,-0.061706543
1794,0.032714844,0.99835205,0.06561279,0.020141602,-0.032714844,-0.061706543
1805,0.042114258,0.9971924,0.07122803,0.01928711,-0.0345459,-0.052612305
1815,0.041931152,1.0059204,0.057495117,0.019348145,-0.04949951,-0.06304932
1825,0.047973633,1.0091553,0.06335449,0.016235352,-0.035949707,-0.05633545
1834,0.03186035,1.0055542,0.07141113,0.012145996,-0.03668213,-0.04058838
1844,0.03186035,1.0055542,0.07141113,0.012145996,-0.03668213,-0.04058838
1854,0.02947998,1.0021362,0.059143066,0.01965332,-0.036376953,-0.06048584
1865,0.022827148,1.0014648,0.05999756,0.016845703,-0.029296875,-0.05444336
1874,0.004699707,1.0023193,0.0748291,0.012756348,-0.014892578,-0.0914917
1885,0.004699707,1.0023193,0.0748291,0.012756348,-0.014892578,-0.0914917
1895,0.03137207,1.0040283,0.06384277,0.013366699,-0.0099487305,-0.053466797
1905,0.036987305,0.99890137,0.06781006,0.023864746,-0.0095825195,-0.061279297
1915,0.048217773,1.0147095,0.082336426,0.0234375,-0.0119018555,-0.05517578
1924,0.048217773,1.0147095,0.082336426,0.0234375,-0.0119018555,-0.05517578
1934,0.055908203,1.015625,0.07879639,0.04675293,-0.0099487305,-0.070373535
1944,0.06109619,1.0031738,0.06341553,0.046813965,-0.015014648,-0.087402344
1955,0.07110596,1.0064087,0.0803833,0.033081055,-0.024414062,-0.09265137
1965,0.07110596,1.0064087,0.0803833,0.033081055,-0.024414062,-0.09265137
1975,0.068847656,1.0112305,0.07678223,0.027526855,-0.021728516,-0.09100342
1985,0.06628418,1.0129395,0.08203125,0.028198242,-0.04071045,-0.09265137
1995,0.06628418,1.0129395,0.08203125,0.028198242,-0.04071045,-0.09265137
2005,0.054504395,1.0076294,0.07922363,0.025268555,-0.037719727,-0.083496094
2015,0.04748535,1.0108643,0.09313965,0.029968262,-0.07739258,-0.10064697
2025,0.03125,1.0152588,0.08520508,0.032409668,-0.06121826,-0.09692383
2034,0.03125,1.0152588,0.08520508,0.032409668,-0.06121826,-0.09692383
2045,0.010986328,1.0061035,0.07562256,0.037231445,-0.06915283,-0.08459473
2054,-0.0022583008,1.0109863,0.08862305,0.034851074,-0.06549072,-0.089416504
2064,-0.008972168,0.9991455,0.074645996,0.030151367,-0.059387207,-0.07556152
2074,-0.008972168,0.9991455,0.074645996,0.030151367,-0.059387207,-0.07556152
2085,0.0022583008,1.0071411,0.07476807,0.032165527,-0.06707764,-0.059753418
2094,0.0067749023,1.0134888,0.07128906,0.030151367,-0.06298828,-0.04949951
2104,0.0067749023,1.0134888,0.07128906,0.030151367,-0.06298828,-0.04949951
2115,0.010559082,1.010437,0.033203125,0.02722168,-0.056152344,-0.05670166
2124,0.010009766,0.9975586,0.04260254,0.02520752,-0.061950684,-0.046203613
2135,0.04675293,0.99316406,0.066101074,0.019042969,-0.06274414,-0.020874023
2145,0.04675293,0.99316406,0.066101074,0.019042969,-0.06274414,-0.020874023
2154,0.031555176,0.991272,0.06451416,0.020874023,-0.07104492,-0.049072266
2164,0.056762695,0.99823,0.0847168,0.029907227,-0.0871582,-0.046569824
2175,0.062805176,1.0036011,0.082092285,0.015258789,-0.103027344,-0.053466797
2184,0.062805176,1.0036011,0.082092285,0.015258789,-0.103027344,-0.053466797
2194,0.056274414,0.9963379,0.07330322,0.018310547,-0.105773926,-0.050354004
2204,0.036376953,1.0056152,0.08166504,0.018310547,-0.10784912,-0.044189453
2214,0.036376953,1.0056152,0.08166504,0.018310547,-0.10784912,-0.044189453
2224,0.020446777,0.99884033,0.056030273,0.022766113,-0.09863281,-0.042663574
2235,0.0076293945,1.003479,0.064941406,0.022766113,-0.11529541,-0.03387451
2244,-0.008728027,0.9873047,0.05456543,0.019958496,-0.10076904,-0.032409668
2255,-0.008728027,0.9873047,0.05456543,0.019958496,-0.10076904,-0.032409668
2264,-0.002746582,0.99902344,0.06488037,0.01727295,-0.09429932,-0.032470703
2274,-0.011657715,0.99572754,0.05114746,0.019104004,-0.083984375,-0.04058838
2285,-0.008544922,1.0025635,0.06225586,0.022460938,-0.08154297,-0.044799805
2294,-0.008544922,1.0025635,0.06225586,0.022460938,-0.08154297,-0.044799805
2305,-0.0014648438,1.0098267,0.08117676,0.020690918,-0.0690918,-0.06921387
2314,0.008850098,1.0165405,0.07977295,0.021606445,-0.06866455,-0.055908203
2324,0.008850098,1.0165405,0.07977295,0.021606445,-0.06866455,-0.055908203
2334,0.023071289,1.0302734,0.08258057,0.024230957,-0.051940918,-0.04827881
2345,0.030517578,1.0001221,0.075805664,0.029907227,-0.062927246,-0.055236816
2354,0.04949951,1.0132446,0.08428955,0.026428223,-0.0579834,-0.041137695
2365,0.04949951,1.0132446,0.08428955,0.026428223,-0.0579834,-0.041137695
2374,0.045959473,1.0241089,0.09112549,0.026367188,-0.057373047,-0.034484863
